Prospect Domain,DR,Contact Name,Email,Outreach Date,Follow-up 1 Date,Follow-up 2 Date,Status,Link Acquired (Y/N),Link URL
silveradosierra.com,72,Editor Team,editor@silveradosierra.com,2026-05-08,2026-05-11,2026-05-15,In Progress,N,
gm-trucks.com,64,Content Editor,editor@gm-trucks.com,2026-05-08,2026-05-11,2026-05-15,In Progress,N,
offroadxtreme.com,78,Managing Editor,pitches@offroadxtreme.com,2026-05-08,2026-05-11,2026-05-15,In Progress,N,
drivingline.com,74,Auto Desk,tips@drivingline.com,2026-05-09,2026-05-13,2026-05-17,In Progress,N,
pickuptrucktalk.com,57,Site Editor,editor@pickuptrucktalk.com,2026-05-09,2026-05-13,2026-05-17,In Progress,N,
streettrucksmag.com,67,Editorial Desk,editorial@streettrucksmag.com,2026-05-09,2026-05-13,2026-05-17,In Progress,N,
trucktrend.com,81,Features Editor,features@trucktrend.com,2026-05-10,2026-05-14,2026-05-18,In Progress,N,
motortrend.com,90,Contributor Desk,pitches@motortrend.com,2026-05-10,2026-05-14,2026-05-18,In Progress,N,
customoffsets.com,69,Partnership Team,media@customoffsets.com,2026-05-10,2026-05-14,2026-05-18,In Progress,N,
alloutoffroad.com,52,Editor,editor@alloutoffroad.com,2026-05-10,2026-05-14,2026-05-18,In Progress,N,
dieselpowerproducts.com,58,Content Team,content@dieselpowerproducts.com,2026-05-11,2026-05-15,2026-05-19,In Progress,N,
fourwheeler.com,79,Managing Editor,pitches@fourwheeler.com,2026-05-11,2026-05-15,2026-05-19,In Progress,N,
tfltruck.com,61,Editorial Team,news@tfltruck.com,2026-05-11,2026-05-15,2026-05-19,In Progress,N,
carbuzz.com,84,Auto Desk,editorial@carbuzz.com,2026-05-12,2026-05-16,2026-05-20,In Progress,N,
carscoops.com,83,News Editor,tips@carscoops.com,2026-05-12,2026-05-16,2026-05-20,In Progress,N,
autoblog.com,88,Contributor Relations,pitches@autoblog.com,2026-05-12,2026-05-16,2026-05-20,In Progress,N,
jalopnik.com,86,Writer Desk,tips@jalopnik.com,2026-05-13,2026-05-17,2026-05-21,In Progress,N,
roadandtrack.com,89,Features Team,pitches@roadandtrack.com,2026-05-13,2026-05-17,2026-05-21,In Progress,N,
caranddriver.com,91,Editorial Desk,press@caranddriver.com,2026-05-13,2026-05-17,2026-05-21,In Progress,N,
