Keyword,Target URL,SEMrush Pos,Volume,KD,Intent,Priority,Optimized Element,Status
engraved chevy bowtie,/chevy-bowtie,3,210,22,Informational,Critical,H1 / FAQ / Answer Capsule / Fitment Table,QUICK_WIN_DONE
personalized chevy emblem,/chevy-emblem,3,110,24,Commercial,Critical,H1 / FAQ / Answer Capsule / Fitment Table,QUICK_WIN_DONE
custom chevrolet bowtie emblem,/chevy-bowtie,3,70,23,Commercial,Critical,H1 / FAQ / Answer Capsule / Fitment Table,QUICK_WIN_DONE
engraved chevy logo,/chevy-bowtie,3,70,20,Informational,Critical,H1 / FAQ / Answer Capsule / Fitment Table,QUICK_WIN_DONE
engraved bowtie chevy,/chevy-bowtie,6,40,20,Informational,Critical,H1 / FAQ / Answer Capsule / Fitment Table,QUICK_WIN_DONE
custom chevy emblems,/products?make=Chevrolet,7,210,14,Commercial,Critical,Category Meta / Intro Copy / H2,QUICK_WIN_DONE
custom chevy logo,/chevy-emblem,7,210,26,Commercial,Critical,H1 / FAQ / Answer Capsule / Fitment Table,QUICK_WIN_DONE
custom chevy logos,/chevy-emblem,7,50,15,Commercial,Critical,H1 / FAQ / Answer Capsule / Fitment Table,QUICK_WIN_DONE
chevrolet custom emblems,/products?make=Chevrolet,11,170,27,Commercial,High,Category Meta / Intro Copy / H2,QUICK_WIN_DONE
custom chevy badges,/products?make=Chevrolet,12,170,14,Commercial,High,Category Meta / Intro Copy / H2,QUICK_WIN_DONE
chevy silverado badges,/fitment,14,170,30,Commercial,High,H1 / HowTo Schema / Dimension Table,QUICK_WIN_DONE
engraved chevy emblem,/chevy-emblem,14,170,24,Commercial,High,H1 / FAQ / Answer Capsule / Fitment Table,QUICK_WIN_DONE
chevy badges,/chevy-emblem,15,90,28,Commercial,High,H1 / FAQ / Answer Capsule / Fitment Table,QUICK_WIN_DONE
silverado badges,/fitment,17,320,16,Informational,High,H1 / HowTo Schema / Dimension Table,QUICK_WIN_DONE
silverado badge,/fitment,17,210,18,Commercial,High,H1 / HowTo Schema / Dimension Table,QUICK_WIN_DONE
chevy silverado emblems,/chevy-emblem,18,320,15,Commercial,High,H1 / FAQ / Answer Capsule / Fitment Table,QUICK_WIN_DONE
chevy bowtie emblems for sale,/chevy-bowtie,20,40,15,Transactional,Medium,H1 / FAQ / Answer Capsule / Fitment Table,QUICK_WIN_DONE
silverado emblems,/fitment,22,320,19,Commercial,High,H1 / HowTo Schema / Dimension Table,TIER2_DONE
white chevy emblem,/chevy-emblem,22,140,30,Transactional,Medium,H1 / FAQ / Answer Capsule / Fitment Table,TIER2_DONE
custom chevy symbol,/chevy-emblem,23,140,18,Commercial,Medium,H1 / FAQ / Answer Capsule / Fitment Table,TIER2_DONE
chevy silverado logo,/chevy-emblem,23,140,23,Informational,Medium,H1 / FAQ / Answer Capsule / Fitment Table,TIER2_DONE
