Domain,In Competitor A,In Competitor B,Category,Priority Signal
20somethingfinance.com,N,Y,General web,Single-source competitor signal
accio.com,Y,N,Marketplace/Sourcing,Single-source competitor signal
android.com,N,Y,General web,Single-source competitor signal
angelamichael.com,N,Y,General web,Single-source competitor signal
applechevy.com,N,Y,General web,Single-source competitor signal
armynavygame.com,N,Y,General web,Single-source competitor signal
autoblog.com,N,Y,Automotive media/brand,Single-source competitor signal
baconautocountry.com,N,Y,General web,Single-source competitor signal
bbc.com,N,Y,General web,Single-source competitor signal
bgr.com,N,Y,General web,Single-source competitor signal
blog.google,N,Y,General web,Single-source competitor signal
bloomberg.com,N,Y,General web,Single-source competitor signal
bltmd.com,N,Y,General web,Single-source competitor signal
bowmanchevy.com,N,Y,General web,Single-source competitor signal
burnschevycadillac.com,N,Y,General web,Single-source competitor signal
business-services.gwu.edu,Y,N,Authority/Institutional,Single-source competitor signal
c8corvetteblog.com,N,Y,Automotive media/brand,Single-source competitor signal
calbizjournal.com,N,Y,General web,Single-source competitor signal
canadadrives.ca,N,Y,General web,Single-source competitor signal
caranddriver.com,N,Y,Automotive media/brand,Single-source competitor signal
carcloudautogroup.com,N,Y,General web,Single-source competitor signal
caredge.com,N,Y,General web,Single-source competitor signal
carfax.com,N,Y,General web,Single-source competitor signal
cargurus.com,N,Y,General web,Single-source competitor signal
carinterior.alibaba.com,Y,N,Marketplace/Sourcing,Single-source competitor signal
cars.com,N,Y,General web,Single-source competitor signal
carscoops.com,N,Y,Automotive media/brand,Single-source competitor signal
chevroletofcanton.com,N,Y,Automotive media/brand,Single-source competitor signal
chevromax.com,Y,N,General web,Single-source competitor signal
chevynomadclub.org,Y,N,General web,Single-source competitor signal
chevyperformancecatalog.com,N,Y,General web,Single-source competitor signal
cleantechnica.com,N,Y,General web,Single-source competitor signal
cleanvehiclerebate.org,N,Y,General web,Single-source competitor signal
cnbc.com,N,Y,General web,Single-source competitor signal
corvetteblogger.com,Y,N,Automotive media/brand,Single-source competitor signal
criswellcorvette.com,N,Y,Automotive media/brand,Single-source competitor signal
dellenbachchevrolet.com,N,Y,Automotive media/brand,Single-source competitor signal
directory-free.com,Y,N,Likely spam/link network,Single-source competitor signal
dragzine.com,N,Y,General web,Single-source competitor signal
driftrock.com,N,Y,General web,Single-source competitor signal
driveclassicchevy.com,N,Y,General web,Single-source competitor signal
edmunds.com,N,Y,General web,Single-source competitor signal
energy.gov,N,Y,Authority/Institutional,Single-source competitor signal
experience.gm.com,N,Y,Automotive media/brand,Single-source competitor signal
fastcompany.com,N,Y,General web,Single-source competitor signal
finehomesandliving.com,Y,N,General web,Single-source competitor signal
fleetlogging.com,N,Y,General web,Single-source competitor signal
flokii.com,Y,N,General web,Single-source competitor signal
fobsourcify.com,Y,N,Marketplace/Sourcing,Single-source competitor signal
freep.com,N,Y,General web,Single-source competitor signal
ganleychevrolet.com,N,Y,Automotive media/brand,Single-source competitor signal
geotab.com,N,Y,General web,Single-source competitor signal
github.com,N,Y,General web,Single-source competitor signal
gizmodo.com,N,Y,General web,Single-source competitor signal
gmparts.com,N,Y,Automotive media/brand,Single-source competitor signal
gmperformancemotor.com,N,Y,Automotive media/brand,Single-source competitor signal
goodhousekeeping.com,N,Y,General web,Single-source competitor signal
gordonchevrolet.com,N,Y,Automotive media/brand,Single-source competitor signal
grokipedia.com,Y,N,General web,Single-source competitor signal
guessingheadlights.com,N,Y,General web,Single-source competitor signal
hagerty.com,N,Y,General web,Single-source competitor signal
harrygreenchevy.com,N,Y,General web,Single-source competitor signal
homesteadmiamispeedway.com,N,Y,Automotive media/brand,Single-source competitor signal
hondanews.com,N,Y,General web,Single-source competitor signal
hotcars.com,N,Y,General web,Single-source competitor signal
insurify.com,N,Y,General web,Single-source competitor signal
iowaspeedway.com,N,Y,Automotive media/brand,Single-source competitor signal
jalopnik.com,N,Y,Automotive media/brand,Single-source competitor signal
jerryschevroletofburleson.com,N,Y,Automotive media/brand,Single-source competitor signal
latimes.com,N,Y,General web,Single-source competitor signal
libr.swill.be,Y,N,General web,Single-source competitor signal
livescience.com,N,Y,General web,Single-source competitor signal
makeuseof.com,N,Y,Likely spam/link network,Single-source competitor signal
marshallchevrolet.com,N,Y,Automotive media/brand,Single-source competitor signal
maximizemarketresearch.com,N,Y,General web,Single-source competitor signal
moneydigest.com,N,Y,General web,Single-source competitor signal
monticellochevygmc.com,N,Y,Automotive media/brand,Single-source competitor signal
morleybpo.com,N,Y,General web,Single-source competitor signal
motor-talk.de,Y,N,General web,Single-source competitor signal
mrc.org,N,Y,General web,Single-source competitor signal
nascarclash.com,N,Y,Automotive media/brand,Single-source competitor signal
nctc.edu,Y,N,Authority/Institutional,Single-source competitor signal
newatlas.com,N,Y,General web,Single-source competitor signal
nhtsa.gov,N,Y,Authority/Institutional,Single-source competitor signal
nytimes.com,N,Y,General web,Single-source competitor signal
obschevytruckparts.com,N,Y,General web,Single-source competitor signal
onstar.com,N,Y,General web,Single-source competitor signal
outest.canyons.edu,Y,N,Authority/Institutional,Single-source competitor signal
parents.com,N,Y,General web,Single-source competitor signal
phoenixraceway.com,N,Y,General web,Single-source competitor signal
pinebeltchevrolet.com,N,Y,Automotive media/brand,Single-source competitor signal
roadandtrack.com,N,Y,Automotive media/brand,Single-source competitor signal
rvlife.com,N,Y,General web,Single-source competitor signal
san.com,N,Y,General web,Single-source competitor signal
search-a5-jazel-tango.jazel-qa.com,N,Y,General web,Single-source competitor signal
self.inc,N,Y,General web,Single-source competitor signal
sourcifychina.com,Y,N,Marketplace/Sourcing,Single-source competitor signal
stanmcnabbchevroletcolumbia.com,N,Y,Automotive media/brand,Single-source competitor signal
system.dealerfire.com,N,Y,General web,Single-source competitor signal
talladegasuperspeedway.com,N,Y,Automotive media/brand,Single-source competitor signal
techspot.com,N,Y,General web,Single-source competitor signal
test.test.unlv.edu,Y,N,Authority/Institutional,Single-source competitor signal
thefreebieguy.com,N,Y,General web,Single-source competitor signal
theguardian.com,N,Y,General web,Single-source competitor signal
theweek.com,N,Y,General web,Single-source competitor signal
thezebra.com,N,Y,General web,Single-source competitor signal
