Brief ID,Content Title,Planned URL,Owner,Stage,Planned Publish Date,Primary KPI,Primary KPI Target (30d),Secondary KPI,Secondary KPI Target (30d),Publish URL,Status
01,Silverado Emblem Buying Guide (2026),/articles/silverado-emblem-buying-guide-2026,Team,Brief Ready,2026-05-10,Organic Sessions,300,Avg Position,Top 20,,Planned
01A,Chevrolet Emblem Style & Fitment Guide,/articles/chevrolet-emblem-style-fitment-guide,Team,Brief Ready,2026-07-15,Organic Sessions,220,Avg Position,Top 25,,Planned
01B,Corvette Emblem Fitment & Upgrade Guide,/articles/corvette-emblem-fitment-upgrade-guide,Team,Brief Ready,2026-07-18,Organic Sessions,200,CTR,3.0%,,Planned
02,Engraved Chevy Emblem vs Vinyl Overlay: Which Lasts?,/articles/engraved-chevy-emblem-vs-vinyl-overlay,Team,Brief Ready,2026-05-13,Organic Sessions,250,CTR,3.5%,,Planned
03,Custom Chevy Badges Style Guide for Modern Builds,/articles/custom-chevy-badges-style-guide,Team,Brief Ready,2026-05-16,Organic Sessions,220,Avg Position,Top 25,,Planned
03A,Chevrolet Grille Emblem Size & Install Guide,/articles/chevrolet-grille-emblem-size-install-guide,Team,Brief Ready,2026-07-21,Organic Sessions,180,CTR,3.0%,,Planned
03B,Black Chevy Emblem Finish Guide,/articles/black-chevy-emblem-finish-guide,Team,Brief Ready,2026-07-24,Organic Sessions,170,Conversions,3 leads,,Planned
04,GMC Mirror Caps: Fitment and Installation Guide,/articles/gmc-mirror-caps-fitment-installation-guide,Team,Brief Ready,2026-05-19,Organic Sessions,220,Conversions,5 leads,,Planned
05,Ford F-150 Custom Emblems: Complete Buyer's Guide,/articles/ford-f150-custom-emblems-complete-buyers-guide,Team,Brief Ready,2026-05-22,Organic Sessions,230,Avg Position,Top 25,,Planned
06,Hand-Etched Automotive Engravings: Process and Standards,/articles/hand-etched-automotive-engraving-process-standards,Team,Brief Ready,2026-05-25,Organic Sessions,200,Referring Domains,2,,Planned
07,How to Remove Chevy Emblems Safely (No Paint Damage),/articles/how-to-remove-chevy-emblems-safely-no-paint-damage,Team,Brief Ready,2026-05-28,Organic Sessions,260,Avg Position,Top 20,,Planned
08,Silverado Emblem Removal Guide (K2XX and T1 Platforms),/articles/silverado-emblem-removal-guide-k2xx-t1,Team,Brief Ready,2026-05-31,Organic Sessions,260,CTR,3.2%,,Planned
09,Engraving Nation vs Billet Badges: Materials Finish and Fit,/articles/engraving-nation-vs-billet-badges,Team,Brief Ready,2026-06-03,Organic Sessions,180,Conversions,4 leads,,Planned
10,Custom Truck Accessories Near Me: How to Choose Quality,/articles/custom-truck-accessories-near-me-how-to-choose-quality,Team,Brief Ready,2026-06-06,Organic Sessions,180,Local Leads,3 leads,,Planned
11,Chevy Bowtie Size by Year (Complete Table),/articles/chevy-bowtie-size-by-year-complete-table,Team,Brief Ready,2026-06-09,Organic Sessions,260,Avg Position,Top 20,,Planned
12,GMC Denali Emblems: Black Chrome vs Polished,/articles/gmc-denali-emblems-black-chrome-vs-polished,Team,Brief Ready,2026-06-12,Organic Sessions,190,CTR,3.0%,,Planned
13,Super Duty Emblem Fitment Guide (F-250/F-350),/articles/super-duty-emblem-fitment-guide-f250-f350,Team,Brief Ready,2026-06-15,Organic Sessions,210,Avg Position,Top 25,,Planned
14,RAM TRX Badge Upgrade Playbook,/articles/ram-trx-badge-upgrade-playbook,Team,Brief Ready,2026-06-18,Organic Sessions,180,Conversions,4 leads,,Planned
15,Emblem Color Matching with OEM Paint Codes,/articles/emblem-color-matching-oem-paint-codes,Team,Brief Ready,2026-06-21,Organic Sessions,220,Avg Position,Top 25,,Planned
16,2015 Silverado Grille Blackout: Best Options Compared,/articles/2015-silverado-grille-blackout-best-options-compared,Team,Brief Ready,2026-06-24,Organic Sessions,210,CTR,3.0%,,Planned
17,Z71 Emblem Install Guide (2019-2022 Silverado),/articles/z71-emblem-install-guide-2019-2022-silverado,Team,Brief Ready,2026-06-27,Organic Sessions,230,Avg Position,Top 20,,Planned
18,Squarebody Bowtie Restoration Guide (1977-1987),/articles/squarebody-bowtie-restoration-guide-1977-1987,Team,Brief Ready,2026-06-30,Organic Sessions,170,Referring Domains,1,,Planned
19,G80 Code and Badge Guide for Silverado Owners,/articles/g80-code-badge-guide-silverado-owners,Team,Brief Ready,2026-07-03,Organic Sessions,180,CTR,3.0%,,Planned
20,Illuminated Chevy Emblem Install (2016-2018),/articles/illuminated-chevy-emblem-install-2016-2018,Team,Brief Ready,2026-07-06,Organic Sessions,210,Avg Position,Top 25,,Planned
21,Camaro vs Silverado Bowtie Fitment Explained,/articles/camaro-vs-silverado-bowtie-fitment-explained,Team,Brief Ready,2026-07-09,Organic Sessions,160,CTR,2.8%,,Planned
22,Road Salt Durability: Billet vs Plastic Truck Emblems,/articles/road-salt-durability-billet-vs-plastic-truck-emblems,Team,Brief Ready,2026-07-12,Organic Sessions,190,Referring Domains,2,,Planned
